client_id,first_name,last_name,email,phone_number,date_of_birth,gender,occupation,address,neighborhood,district_name,state,postcode,country,created_at,updated_at,status,points,lat,lon
298104694689,Mohamed,Marí,mohamed.marí@gmail.com,+34887 11 43 89,1986-08-17,Male,Mecánico y reparador de máquinas agrícolas e industriales,Bypass Sur,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2021-04-07,2024-04-06,active,"(40.39036405886513, -3.6830633382651)",40.390130799999994,-3.6835188764177667
484625614518,Paulino,Bernat,paulino.bernat@gmail.com,+34843 07 80 85,1985-04-19,Male,Patronista y cortador de tela,Calle de Embajadores188,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2021-01-02,2023-12-10,active,"(40.392998229324846, -3.6943214138007714)",40.392980550000004,-3.6942722908057015
355616727318,Néstor,Royo,néstor.royo@gmail.com,+34 927 70 16 88,1970-07-09,Male,Corrector de pruebas de imprenta,Calle de Antonio Nebrija,Arganzuela,Retiro,Comunidad de Madrid,28007,España,2022-02-08,2023-08-07,active,"(40.403280471811954, -3.685407049495609)",40.403698500000004,-3.6849444948672136
876397742009,Gertrudis,Collado,gertrudis.collado@outlook.com,+34 941 46 44 58,1962-05-21,Female,Agente inmobiliario,Calle de Melilla10,Arganzuela,Arganzuela,Comunidad de Madrid,28005,España,2020-09-15,2023-06-25,active,"(40.40018895395567, -3.710740054139)",40.400836600000005,-3.7106502814163633
461926413761,Celia,Arellano,celia.arellano@yahoo.com,+34 901 34 55 85,1973-08-10,Female,Audiólogo,Carril bici Pasillo Verde,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2020-04-14,2024-05-05,active,"(40.40098340203416, -3.6954998289000365)",40.400978993335784,-3.6955000775985614
298777804960,Vicenta,Hernández,vicenta.hernández@outlook.com,+34 884 617 256,1991-08-09,Female,Lavador de vehículos,Paseo de las Delicias61,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2021-03-25,2024-03-09,active,"(40.39681114855945, -3.68877990282281)",40.39793565,-3.688786438412275
627148229414,Reina,Cánovas,reina.cánovas@gmail.com,+34 807 66 29 26,1959-01-18,Female,Controlador de plagas y malas hierbas,Presa 8,Arganzuela,Arganzuela,Comunidad de Madrid,28019,España,2020-01-23,2024-01-16,active,"(40.395658517187236, -3.705800158689844)",40.3960095,-3.7068033942370002
132675576665,Dalila,Tejada,dalila.tejada@gmail.com,+34827078776,1947-12-29,Female,"Director de empresas de abastecimiento, distribución y afines",Calle de Tomás Bretón62,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2021-10-17,2023-06-02,active,"(40.395099874502975, -3.6908999379274574)",40.3949845,-3.6901966402759863
949874065567,Nereida,Saura,nereida.saura@gmail.com,+34749 74 19 04,1936-03-16,Female,Pescadero,Calle de Tomás Bretón62,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2022-04-04,2023-10-05,active,"(40.39459715358568, -3.690595308677863)",40.3949845,-3.6901966402759863
199493073952,Evaristo,Ramis,evaristo.ramis@gmail.com,+34803781630,1988-06-10,Male,Conserje,Calle de Julián Rabanedo,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2022-05-22,2023-06-30,active,"(40.38760502660752, -3.6938601090993606)",40.387556,-3.6938867
145555503354,Marcia,Fernández,marcia.fernández@hotmail.com,+34927 34 83 03,2000-03-13,Female,Cantante,Calle Puerto Serrano14,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2023-04-27,2023-09-02,active,"(40.385658687232954, -3.6874326484476345)",40.3857051,-3.6874803
105427920118,Clara,Gámez,clara.gámez@hotmail.com,+34 803 379 369,1995-12-11,Female,Supervisor de la construcción,Calle de Segovia51,Arganzuela,Arganzuela,Comunidad de Madrid,28005,España,2024-03-12,2023-06-24,active,"(40.413821102636945, -3.718069424546422)",40.413527450000004,-3.718093378289847
392210344526,José,Pou,josé.pou@outlook.com,+34944980176,1966-08-11,Female,Mecánico-montador de instalaciones de refrigeración y climatización,Bypass Sur,Arganzuela,Arganzuela,Comunidad de Madrid,28019,España,2024-05-12,2024-02-02,active,"(40.3894010979811, -3.692843143285119)",40.38950165,-3.6929996024312253
797364171251,Manu,Carlos,manu.carlos@hotmail.com,+34923 390 667,1984-11-02,Female,Reponedor de estanterías,Glorieta de las Pirámides,Arganzuela,Arganzuela,Comunidad de Madrid,28019,España,2021-09-11,2023-05-28,active,"(40.40093746292912, -3.714162211498135)",40.40099938281955,-3.7141272405478754
554748664972,Juan Pablo,Expósito,juan.pablo.expósito@outlook.com,+34975 943 831,1964-02-11,Male,Platero,,Arganzuela,Arganzuela,Comunidad de Madrid,28005,España,2022-08-22,2024-02-03,unactive,"(40.401733485214926, -3.7194984141100065)",40.4018522,-3.719006980493308
955628528686,Francisca,Clemente,francisca.clemente@yahoo.com,+34875 47 99 06,1993-04-09,Female,Patronista y cortador de tela,Bypass Sur,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2023-01-14,2023-07-02,active,"(40.38930616441395, -3.6834423149583797)",40.38944553894801,-3.6834530452431395
92651284828,Constanza,Valentín,constanza.valentín@outlook.com,+34924284195,1993-01-08,Female,Operador de máquinas para fabricar productos fotográficos,Calle de Melilla10,Arganzuela,Arganzuela,Comunidad de Madrid,28005,España,2021-09-02,2024-03-11,active,"(40.40097997525525, -3.7104257810476717)",40.400836600000005,-3.7106502814163633
746520122082,Cebrián,Luís,cebrián.luís@gmail.com,+34 948 117 012,1978-08-05,Male,Instalador y reparador en tecnología de la información y las comunicaciones,Calle de Toledo135,Arganzuela,Arganzuela,Comunidad de Madrid,28005,España,2020-12-14,2024-04-10,active,"(40.40523292988506, -3.7116542018697363)",40.40531195,-3.7118180467185455
69553222468,Evangelina,Quintero,evangelina.quintero@yahoo.com,+34 700 652 148,1995-09-17,Female,Técnico agropecuario,Bypass Sur,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2022-12-29,2023-10-15,active,"(40.39068005896167, -3.6838939640773694)",40.390130799999994,-3.6835188764177667
592793629666,Leocadio,Palomo,leocadio.palomo@outlook.com,+34 872 69 85 13,1937-01-11,Male,Comerciante de tiendas,Calle de Embajadores176,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2022-06-25,2023-09-03,active,"(40.39470723670683, -3.6951204259364507)",40.39485535,-3.6954475554378527
418760940962,Abril,Tirado,abril.tirado@gmail.com,+34 935 742 338,1991-12-06,Female,Grabador de datos,Calle de Méndez Álvaro24,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2023-07-12,2024-01-31,active,"(40.403141953753746, -3.6880293467793357)",40.40243875,-3.688283763722286
71856200390,Porfirio,Abad,porfirio.abad@gmail.com,+34 948 55 09 55,1995-04-20,Male,Instructor de educación física y actividades recreativas,Calle del General Lacy34,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2022-07-16,2023-06-15,active,"(40.402128682846325, -3.6910636469711378)",40.40219105,-3.6912907131364556
979181148749,Joan,Salas,joan.salas@outlook.com,+34 875 92 47 35,2002-11-28,Male,Ayudante de odontología,Calle del Teniente Coronel Noreña,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2021-02-16,2023-09-11,unactive,"(40.38613902313614, -3.691101375711115)",40.386140771838484,-3.691098033164255
526397244574,Roldán,Cortés,roldán.cortés@hotmail.com,+34 800 960 464,2004-12-29,Male,Agente inmobiliario,Calle de Méndez Álvaro,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2022-09-10,2023-09-14,active,"(40.403162973314224, -3.6868062402715385)",40.402280461414065,-3.6875949154633276
408342810274,Cornelio,Chaves,cornelio.chaves@hotmail.com,+34866289550,1975-04-08,Male,Ingeniero medioambiental,,Arganzuela,Arganzuela,Comunidad de Madrid,28005,España,2020-05-14,2024-02-06,active,"(40.401813396768404, -3.718928948653377)",40.4018522,-3.719006980493308
754465026754,Juan Carlos,Porras,juan.carlos.porras@hotmail.com,+34816 86 03 95,1952-05-26,Male,Fotógrafo,Calle del General Lacy11,Arganzuela,Arganzuela,Comunidad de Madrid,28045,España,2022-05-16,2023-10-14,active,"(40.402971007447235, -3.690705696361672)",40.403081400000005,-3.690521234379166
258921328129,Graciano,Benítez,graciano.benítez@outlook.com,+34880799924,1952-12-14,Male,Profesional de ventas técnicas y médicas,Calle de Casimiro Mahou Bierhans,Arganzuela,Arganzuela,Comunidad de Madrid,28019,España,2024-05-03,2023-08-24,active,"(40.40259317350117, -3.7166654321281927)",40.402591363173656,-3.7169347320604462
389907532860,Juanita,Hurtado,juanita.hurtado@yahoo.com,+34 925 76 42 62,1979-08-15,Female,Físico,Madrid Río,Arganzuela,Latina,Comunidad de Madrid,28005,España,2021-04-01,2023-09-27,active,"(40.40812177786727, -3.7219352374781667)",40.40816266391561,-3.722158379681513
